C,Literary Walk,40.7723522,-73.9715901,16,10,6,8,0,7,1,0,11,0,2,7,2010,8
D,Orchard Beach,40.8629619,-73.7926456,18,10,8,5,5,3,5,0,1,15,2,9,2010,8
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,858,584,273,295,356,161,36,0,573,11,148,501,2010,8
D,Long Beach,40.5884373,-73.657908,17,13,4,2,2,5,8,0,3,12,17,15,2010,8
A,Bryant Park,40.7535965,-73.9832326,47673,37784,9889,18933,12513,11529,4380,0,31522,1023,12968,28082,2010,8
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,133,102,31,19,22,45,45,0,13,103,10,73,2010,8
C,107th Infantry Memorial,40.769249,-73.9694586,1364,998,366,349,541,379,93,0,949,24,223,791,2010,8
C,911 Memorial,40.7115405,-74.0132725,50115,35216,14899,16320,10683,13062,9627,0,18799,2292,10549,28374,2010,8
D,Jones Beach,40.6298139,-73.5030099,1,1,0,1,0,0,0,0,0,0,0,1,2010,8
A,Central Park,40.7711329,-73.9741874,853056,609963,243093,195274,252802,291941,107766,0,506883,17601,174716,488207,2010,8
A,State of liberty National Monument,40.6892494,-74.0445004,22991,14618,8372,8913,6464,4737,2763,0,5579,456,2802,11841,2010,8
B,The Plaza,40.764464,-73.974489,10974,7931,3043,2935,4177,2924,885,0,7511,213,2119,6104,2010,8
C,Grants Tomb,40.8134045,-73.9630671,1967,1277,690,358,458,697,442,0,637,101,323,1094,2010,8
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17121,11351,5770,2977,5064,7170,1825,0,11442,386,2913,9076,2010,8
E,Empire State Building,40.7484405,-73.9856644,38897,26855,12042,8417,12116,12990,5278,0,27589,455,6325,20379,2010,8
C,Grand Army Plaza,40.764591,-73.9736523,30036,21401,8635,8994,11622,7384,1885,0,21929,437,5765,16795,2010,8
D,Coney Island Beach,40.5749261,-73.9859414,749,478,270,123,216,261,138,0,56,633,64,397,2010,8
C,Washington Square Arch,40.7314658,-73.9970956,33383,21658,11725,6310,9520,12157,5267,0,19097,741,6817,18631,2010,8
C,Columbus Circle Fountain,40.767885,-73.982622,29822,20656,9165,6636,9645,10677,2682,0,20266,540,6884,17083,2010,8
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,133,102,31,19,22,45,45,0,13,103,10,73,2010,8
B,Mandarin Oriental,40.768971,-73.983044,13147,9409,3738,2749,3690,4820,1801,0,8395,387,3180,7683,2010,8
B,The Greenwich Hotel,40.719846,-74.009893,26348,19646,6702,6703,5079,12016,2432,0,12454,343,6894,15429,2010,8
B,Trump SoHo Hotel,40.725469,-74.005333,9703,6709,2994,1309,2264,3718,2363,0,5083,458,2110,5361,2010,8
B,The Mark Hotel,40.775274,-73.963405,10831,8586,2245,2408,3634,3899,837,0,7491,123,2316,6409,2010,8
A,Coney Island,40.5749261,-73.9859414,749,478,270,123,216,261,138,0,56,633,64,397,2010,8
A,Battery Park,40.7032775,-74.0170279,22991,14618,8372,8913,6464,4737,2763,0,5579,456,2802,11841,2010,8
B,The Pierre Hotel,40.765247,-73.971998,5132,3699,1433,1198,2118,1447,348,0,3394,137,969,2904,2010,8
D,Fort Tilden Beach,40.564254,-73.883913,18,6,12,3,1,3,10,0,6,11,1,11,2010,8
B,Gramercy Park Hotel,40.738524,-73.985742,12570,8767,3803,1399,2718,5800,2592,0,8669,255,3255,7214,2010,8
E,Museum of National History,40.7813241,-73.9739882,16554,11312,5241,6517,7892,1684,439,0,9365,92,1729,8108,2010,8
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,26627,20084,6543,9509,6201,7650,3134,0,8605,1402,6240,15048,2010,8
B,Four Seasons Hotel,40.762347,-73.971312,23085,18945,4140,8821,6465,5955,1730,0,16177,460,5397,13816,2010,8
A,Prospect Park,40.6602037,-73.9689558,27012,16638,10374,2479,3508,9800,10789,0,4296,4741,4794,15480,2010,8
A,Riverside Park,40.8012339,-73.9723096,260836,185793,75043,39868,62555,107078,49579,0,115952,6977,52964,151630,2010,8
B,The Surrey Hotel,40.774287,-73.96397,15069,11662,3407,3303,5007,5399,1321,0,10028,225,3111,8844,2010,8
F,Sunshine Cinema,40.723024,-73.989961,10893,5805,5088,780,1764,4449,3873,0,6557,191,2597,6159,2010,8
E,Metropolitan Museum of Art,40.7791865,-73.9635348,13838,8810,5028,4883,6702,1838,384,0,6653,100,1677,7235,2010,8
C,Statue of Liberty,40.6892494,-74.0445004,22991,14618,8372,8913,6464,4737,2763,0,5579,456,2802,11841,2010,8
F,Broadway Theater,40.763417,-73.983394,12947,9116,3831,2800,3059,4808,2209,0,8210,562,2586,7128,2010,8
B,The Peninsula Hotel,40.761719,-73.975259,12910,9835,3075,4291,3875,3550,1105,0,8767,307,2879,7650,2010,8
F,AMC Lowes Lincoln Square,40.774866,-73.981646,14677,9717,4960,2376,4522,6415,1311,0,10300,139,3534,8671,2010,8
E,Rockefeller Center,40.7587402,-73.9786736,25448,19186,6262,9032,9468,5549,1101,0,17934,384,5278,14405,2010,8
E,Times Square,40.759011,-73.9844722,27236,18525,8711,5373,7787,9673,4163,0,16981,1902,4985,14502,2010,8
