C,Statue of Liberty,40.6892494,-74.0445004,15334,9963,5371,5213,3944,3652,2424,384,3757,450,2599,8761,2011,1
E,Rockefeller Center,40.7587402,-73.9786736,25247,17716,7531,9934,10036,4564,572,938,18673,238,6561,15116,2011,1
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,183,102,81,17,14,70,77,5,34,102,16,77,2011,1
E,Times Square,40.759011,-73.9844722,28585,18838,9747,6083,8274,10187,3824,685,18451,1870,6563,16227,2011,1
B,The Peninsula Hotel,40.761719,-73.975259,13493,9657,3836,4929,4042,3575,823,380,9585,277,3828,8344,2011,1
D,Orchard Beach,40.8629619,-73.7926456,1,1,0,0,0,1,0,0,0,0,0,1,2011,1
C,Literary Walk,40.7723522,-73.9715901,13,9,3,6,1,4,0,1,7,0,5,6,2011,1
D,Long Beach,40.5884373,-73.657908,45,31,14,9,14,14,8,1,10,35,82,28,2011,1
A,Battery Park,40.7032775,-74.0170279,15334,9963,5371,5213,3944,3652,2424,383,3757,450,2599,8761,2011,1
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,896,617,279,286,448,135,26,18,643,6,176,526,2011,1
C,107th Infantry Memorial,40.769249,-73.9694586,1549,1168,380,481,519,451,92,36,1221,12,366,943,2011,1
D,Jones Beach,40.6298139,-73.5030099,1,0,1,0,1,0,0,0,1,0,0,1,2011,1
C,911 Memorial,40.7115405,-74.0132725,43926,32496,11430,17460,8466,10276,7294,935,15843,1805,11713,26659,2011,1
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17363,10516,6847,2945,5362,7341,1622,468,12032,413,3658,9451,2011,1
A,Bryant Park,40.7535965,-73.9832326,40877,31870,9007,17687,11045,8655,3048,893,28281,723,13402,24814,2011,1
B,The Plaza,40.764464,-73.974489,11418,7638,3780,3253,4530,2882,711,306,8112,156,2704,6715,2011,1
C,Grants Tomb,40.8134045,-73.9630671,1925,1172,753,288,393,786,450,51,666,61,387,1157,2011,1
E,Empire State Building,40.7484405,-73.9856644,30282,20087,10195,8025,9571,8612,3966,835,21845,260,6436,17124,2011,1
C,Grand Army Plaza,40.764591,-73.9736523,29692,20056,9636,9418,12311,6597,1239,951,22730,297,7232,17521,2011,1
D,Coney Island Beach,40.5749261,-73.9859414,472,304,168,47,90,206,123,14,21,436,47,267,2011,1
A,Coney Island,40.5749261,-73.9859414,472,304,168,47,90,206,123,14,21,436,47,267,2011,1
C,Washington Square Arch,40.7314658,-73.9970956,27013,17890,9123,5260,6812,10891,3941,634,15791,658,7618,16257,2011,1
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,183,102,81,17,14,70,77,5,34,102,16,77,2011,1
A,Riverside Park,40.8012339,-73.9723096,329360,225254,104106,47182,86426,141447,52868,10293,164680,5504,75081,197017,2011,1
C,Columbus Circle Fountain,40.767885,-73.982622,29515,19750,9765,6601,9937,10703,2146,950,20565,377,8428,17924,2011,1
B,Mandarin Oriental,40.768971,-73.983044,15170,10509,4661,2872,4067,6208,1961,393,9943,358,4427,9337,2011,1
B,The Greenwich Hotel,40.719846,-74.009893,26956,18465,8491,7253,5647,11891,2078,684,12732,263,8499,16394,2011,1
A,State of liberty National Monument,40.6892494,-74.0445004,15334,9963,5371,5213,3944,3652,2424,383,3757,450,2599,8761,2011,1
B,Trump SoHo Hotel,40.725469,-74.005333,9869,6209,3660,1332,2041,4035,2422,289,5349,527,2375,5657,2011,1
B,The Mark Hotel,40.775274,-73.963405,14278,10404,3874,3512,4720,5171,792,434,10792,67,3489,8835,2011,1
D,Fort Tilden Beach,40.564254,-73.883913,19,14,5,5,0,5,9,0,1,18,1,13,2011,1
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,19901,16353,3548,9390,4695,4665,998,464,6866,397,6369,12778,2011,1
B,The Pierre Hotel,40.765247,-73.971998,4657,3215,1442,1351,1858,1245,192,107,3416,84,1197,2859,2011,1
A,Prospect Park,40.6602037,-73.9689558,25109,15089,10020,1527,2528,9527,11108,798,2904,4610,4978,15132,2011,1
E,Museum of National History,40.7813241,-73.9739882,14628,8550,6077,5005,7472,1822,322,697,8844,57,2122,7570,2011,1
F,Sunshine Cinema,40.723024,-73.989961,9579,4667,4912,402,1438,4240,3443,248,6099,134,2708,5501,2011,1
B,Gramercy Park Hotel,40.738524,-73.985742,12653,8377,4276,1303,2630,6405,2282,296,8596,247,3715,7458,2011,1
E,Metropolitan Museum of Art,40.7791865,-73.9635348,13148,8080,5068,4618,6343,1962,209,396,7403,49,2179,7271,2011,1
