B,Mandarin Oriental,40.768971,-73.983044,12979,9117,3862,2956,3451,4875,1556,759,8683,443,7246,7848,2015,11
C,Literary Walk,40.7723522,-73.9715901,1,1,0,0,0,1,0,0,1,0,0,0,2015,11
A,Central Park,40.7711329,-73.9741874,826303,585872,240431,208319,256839,280617,76179,46952,546400,18192,419331,491479,2015,11
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1198,847,351,397,565,207,26,67,914,14,508,673,2015,11
B,The Greenwich Hotel,40.719846,-74.009893,21063,14788,6275,5998,4685,8349,1909,1019,9884,350,11087,12548,2015,11
E,Museum of National History,40.7813241,-73.9739882,11790,7577,4213,4022,5110,2379,271,376,7404,67,4749,6485,2015,11
B,Trump SoHo Hotel,40.725469,-74.005333,6332,4301,2031,1047,1479,2501,1283,348,3323,473,3080,3693,2015,11
C,107th Infantry Memorial,40.769249,-73.9694586,2260,1618,641,704,807,655,86,197,1862,13,1071,1291,2015,11
A,Prospect Park,40.6602037,-73.9689558,23225,14790,8435,1937,2591,8433,9986,1424,2087,5897,8888,13935,2015,11
A,Coney Island,40.5749261,-73.9859414,375,230,144,61,76,103,128,27,8,355,56,231,2015,11
B,The Mark Hotel,40.775274,-73.963405,14585,10608,3977,3332,4887,5299,997,859,10988,169,6859,8702,2015,11
C,911 Memorial,40.7115405,-74.0132725,59785,40763,19022,23849,18817,10643,6132,3119,17749,2181,21599,34431,2015,11
E,Metropolitan Museum of Art,40.7791865,-73.9635348,12110,7712,4397,4078,5474,2271,269,418,7120,40,4691,6882,2015,11
B,The Pierre Hotel,40.765247,-73.971998,5413,3728,1685,1433,2132,1536,279,442,3993,145,2718,3169,2015,11
A,State of liberty National Monument,40.6892494,-74.0445004,16387,9939,6447,6320,4260,3441,2179,901,4143,469,5137,9342,2015,11
C,Grants Tomb,40.8134045,-73.9630671,1445,940,504,204,361,575,297,67,432,73,584,839,2015,11
C,Grand Army Plaza,40.764591,-73.9736523,24934,17575,7359,8019,9161,6206,1410,1652,18987,517,12691,14515,2015,11
B,Gramercy Park Hotel,40.738524,-73.985742,11667,7661,4006,1170,2376,5502,2593,650,8049,293,6725,6897,2015,11
A,Bryant Park,40.7535965,-73.9832326,38690,28661,10029,15586,11304,8668,2665,1898,26424,982,22313,22971,2015,11
B,Four Seasons Hotel,40.762347,-73.971312,18987,14810,4177,7401,5448,4565,1450,1019,13784,369,10829,11408,2015,11
A,Riverside Park,40.8012339,-73.9723096,277627,193490,84136,46788,74160,115777,39835,16906,142167,6461,133147,166273,2015,11
C,Washington Square Arch,40.7314658,-73.9970956,28097,18609,9488,6272,8116,9961,3662,1319,17091,917,15092,16661,2015,11
B,The Surrey Hotel,40.774287,-73.96397,18643,13696,4947,4106,6161,7166,1147,1016,13700,252,9142,11272,2015,11
A,Battery Park,40.7032775,-74.0170279,16387,9939,6447,6320,4260,3441,2179,901,4143,468,5137,9342,2015,11
C,Columbus Circle Fountain,40.767885,-73.982622,25720,17554,8165,6782,8486,8264,1961,1346,18171,452,13470,15251,2015,11
B,The Plaza,40.764464,-73.974489,11930,8441,3489,3325,4060,3537,977,538,8619,353,5745,6930,2015,11
C,Statue of Liberty,40.6892494,-74.0445004,16387,9939,6447,6320,4260,3441,2179,901,4143,469,5137,9342,2015,11
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,163,105,57,21,34,53,54,10,3,145,39,91,2015,11
D,Long Beach,40.5884373,-73.657908,36,31,5,8,2,13,11,3,0,34,21,23,2015,11
B,The Peninsula Hotel,40.761719,-73.975259,11234,8218,3016,3664,3576,3179,704,605,8285,226,6360,6671,2015,11
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,29390,20348,9042,8396,8723,9520,2625,1471,9788,1890,13538,17130,2015,11
F,Sunshine Cinema,40.723024,-73.989961,6585,3225,3360,478,1005,2588,2498,247,4116,158,3729,3676,2015,11
D,Fort Tilden Beach,40.564254,-73.883913,23,4,19,2,4,8,9,0,0,23,3,14,2015,11
F,Broadway Theater,40.763417,-73.983394,8729,5814,2915,1794,2122,3160,1625,545,5551,728,3793,5038,2015,11
E,Broadway and Shubert Alley,40.7578253,-73.9871766,14343,9516,4827,2248,4722,5429,1840,905,9251,827,5758,7895,2015,11
E,Empire State Building,40.7484405,-73.9856644,26329,16914,9415,5907,8476,8758,3078,1565,19115,338,11511,14684,2015,11
F,AMC Lowes Lincoln Square,40.774866,-73.981646,14848,8818,6030,2823,5293,5753,921,910,10794,151,8201,8720,2015,11
D,Coney Island Beach,40.5749261,-73.9859414,375,230,144,61,76,103,128,27,8,355,56,231,2015,11
E,Rockefeller Center,40.7587402,-73.9786736,24489,16490,7999,8916,9328,5218,600,1011,17683,454,12139,14244,2015,11
E,Times Square,40.759011,-73.9844722,14753,10216,4537,2574,4302,4959,2671,966,9160,1829,6267,8368,2015,11
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,163,105,57,21,34,53,54,10,3,145,39,91,2015,11
