B,Trump SoHo Hotel,40.725469,-74.005333,7000,4774,2226,1149,1832,2557,1422,246,4003,436,3567,4074,2015,2
C,Washington Square Arch,40.7314658,-73.9970956,26678,18823,7855,6443,7505,9870,2802,630,16963,684,14428,15855,2015,2
E,Rockefeller Center,40.7587402,-73.9786736,24480,17810,6670,10594,9703,3481,458,1211,18237,290,12246,14378,2015,2
B,The Mark Hotel,40.775274,-73.963405,14583,10546,4037,4014,4937,4693,860,519,10811,106,6997,8691,2015,2
E,Times Square,40.759011,-73.9844722,21984,15295,6689,4681,5938,7711,3492,1043,14245,1581,9297,12529,2015,2
C,Columbus Circle Fountain,40.767885,-73.982622,26812,18766,8046,6888,8443,9471,1807,1009,18912,315,13907,16002,2015,2
A,Central Park,40.7711329,-73.9741874,833191,600331,232860,205178,259800,286885,77467,28488,546377,14816,400264,494229,2015,2
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,145,100,44,15,24,52,47,7,2,137,18,83,2015,2
B,The Pierre Hotel,40.765247,-73.971998,4313,3198,1115,1205,1458,1435,193,115,3227,104,2211,2570,2015,2
E,Broadway and Shubert Alley,40.7578253,-73.9871766,14790,9742,5048,2417,4230,6620,1428,788,10435,606,5829,8274,2015,2
B,Gramercy Park Hotel,40.738524,-73.985742,11805,8184,3621,1434,2366,5529,2443,344,8300,261,6702,6979,2015,2
E,Empire State Building,40.7484405,-73.9856644,26196,18031,8165,7403,8387,7687,2612,1047,19574,265,11620,14999,2015,2
D,Coney Island Beach,40.5749261,-73.9859414,373,236,137,37,83,130,110,11,9,351,57,217,2015,2
B,Four Seasons Hotel,40.762347,-73.971312,21951,17209,4742,8878,6399,4489,2037,591,16075,345,11972,13192,2015,2
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,145,100,44,15,24,52,47,7,2,137,18,83,2015,2
B,The Surrey Hotel,40.774287,-73.96397,17622,13169,4453,4548,5919,6037,1048,620,12865,188,8148,10376,2015,2
A,Battery Park,40.7032775,-74.0170279,14101,9686,4415,4783,3503,3402,2307,502,4097,498,4865,8123,2015,2
C,Statue of Liberty,40.6892494,-74.0445004,14101,9686,4415,4783,3503,3402,2307,501,4097,498,4865,8123,2015,2
D,Fort Tilden Beach,40.564254,-73.883913,20,11,9,4,11,4,1,0,0,19,3,12,2015,2
B,The Plaza,40.764464,-73.974489,10727,7565,3161,3238,3938,2710,794,435,7794,202,5072,6292,2015,2
B,The Peninsula Hotel,40.761719,-73.975259,11908,8918,2990,4743,3503,2783,781,376,8667,231,6433,7198,2015,2
A,Bryant Park,40.7535965,-73.9832326,39773,32524,7249,18769,10863,7437,2303,1071,27816,933,23256,23825,2015,2
E,Museum of National History,40.7813241,-73.9739882,13090,7960,5130,4694,6255,1830,299,795,8199,67,4514,7060,2015,2
E,Metropolitan Museum of Art,40.7791865,-73.9635348,13315,8513,4802,4791,6036,2263,208,705,7501,52,4709,7424,2015,2
A,Riverside Park,40.8012339,-73.9723096,293816,212506,81309,48292,77317,125432,41815,9181,152069,5079,133950,175020,2015,2
C,Literary Walk,40.7723522,-73.9715901,0,0,0,0,0,0,0,0,0,0,0,0,2015,2
A,Coney Island,40.5749261,-73.9859414,373,236,137,37,83,130,110,11,9,351,57,217,2015,2
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1031,708,323,338,478,187,26,24,732,11,389,595,2015,2
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,27207,20091,7116,8692,7604,8560,2195,779,10039,1480,13819,16313,2015,2
A,State of liberty National Monument,40.6892494,-74.0445004,14101,9686,4415,4783,3503,3402,2307,501,4097,498,4865,8123,2015,2
C,107th Infantry Memorial,40.769249,-73.9694586,1572,1210,362,542,512,440,72,42,1247,15,733,940,2015,2
C,911 Memorial,40.7115405,-74.0132725,47670,36063,11607,19140,12966,10339,4890,1422,16469,1775,20039,27947,2015,2
F,Sunshine Cinema,40.723024,-73.989961,8890,4528,4362,438,1668,4057,2704,301,5673,162,4984,5076,2015,2
B,Mandarin Oriental,40.768971,-73.983044,14712,10555,4157,3337,4025,5421,1817,379,9870,379,7944,8856,2015,2
C,Grants Tomb,40.8134045,-73.9630671,1572,1021,550,237,357,596,367,41,526,46,657,946,2015,2
F,Broadway Theater,40.763417,-73.983394,8906,6372,2534,2123,2155,3325,1249,331,5845,657,3696,5082,2015,2
D,Orchard Beach,40.8629619,-73.7926456,1,0,1,0,0,1,0,0,0,1,0,1,2015,2
B,The Greenwich Hotel,40.719846,-74.009893,20877,14855,6022,5799,4739,8434,1804,611,10202,322,11380,12393,2015,2
A,Prospect Park,40.6602037,-73.9689558,26756,17708,9048,2074,2764,9882,11757,835,3185,5317,10247,15908,2015,2
D,Long Beach,40.5884373,-73.657908,50,32,18,8,10,18,14,1,1,49,22,26,2015,2
F,AMC Lowes Lincoln Square,40.774866,-73.981646,13211,8315,4896,2391,4742,5322,676,615,9662,115,6851,7897,2015,2
C,Grand Army Plaza,40.764591,-73.9736523,26171,18346,7824,9026,10226,5673,1105,1135,20053,341,12978,15325,2015,2
