C,Statue of Liberty,40.6892494,-74.0445004,25619,19758,5861,10341,7134,5096,2933,0,5296,612,3645,13515,2011,8
E,Rockefeller Center,40.7587402,-73.9786736,27090,22760,4330,10596,10082,5367,726,0,19382,368,7130,15869,2011,8
B,The Peninsula Hotel,40.761719,-73.975259,13282,11261,2021,4875,4383,3164,744,0,9309,271,3982,8096,2011,8
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,165,134,31,25,40,49,50,0,15,128,19,84,2011,8
E,Times Square,40.759011,-73.9844722,28521,22553,5968,6255,8472,9724,3828,0,17950,1950,5966,15613,2011,8
D,Orchard Beach,40.8629619,-73.7926456,7,6,1,1,1,5,0,0,0,2,1,3,2011,8
C,Literary Walk,40.7723522,-73.9715901,16,12,3,1,4,9,1,0,4,0,2,8,2011,8
D,Long Beach,40.5884373,-73.657908,37,31,6,3,10,10,14,0,4,29,166,25,2011,8
A,Battery Park,40.7032775,-74.0170279,25619,19758,5861,10341,7133,5096,2933,0,5297,611,3645,13515,2011,8
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1039,885,154,351,442,214,24,0,748,9,188,588,2011,8
C,107th Infantry Memorial,40.769249,-73.9694586,1867,1625,242,518,693,525,124,0,1354,14,390,984,2011,8
D,Jones Beach,40.6298139,-73.5030099,5,5,0,0,0,5,0,0,5,0,1,1,2011,8
C,911 Memorial,40.7115405,-74.0132725,51666,41184,10482,18449,10579,13693,8359,0,17726,1986,13459,30229,2011,8
E,Broadway and Shubert Alley,40.7578253,-73.9871766,18060,14036,4024,3067,5115,7734,2072,0,12279,648,3646,9679,2011,8
A,Bryant Park,40.7535965,-73.9832326,48807,42591,6216,20809,13096,11125,3400,0,32926,797,16713,29337,2011,8
B,The Plaza,40.764464,-73.974489,11684,9592,2091,3244,4514,3026,867,0,8245,249,2710,6752,2011,8
C,Grants Tomb,40.8134045,-73.9630671,1757,1344,413,246,419,686,386,0,598,91,376,1077,2011,8
E,Empire State Building,40.7484405,-73.9856644,41343,32958,8385,9724,12229,14234,5039,0,30040,344,8527,22215,2011,8
C,Grand Army Plaza,40.764591,-73.9736523,31060,25518,5542,9758,12265,7297,1611,0,23210,381,7304,17814,2011,8
D,Coney Island Beach,40.5749261,-73.9859414,731,545,186,117,217,229,147,0,36,649,64,396,2011,8
A,Coney Island,40.5749261,-73.9859414,731,545,186,117,217,229,147,0,36,649,64,396,2011,8
C,Washington Square Arch,40.7314658,-73.9970956,32184,25669,6515,6146,8811,12514,4604,0,18244,628,8748,18568,2011,8
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,165,134,31,25,40,49,50,0,15,128,19,84,2011,8
A,Riverside Park,40.8012339,-73.9723096,249114,201136,47978,35381,60109,106084,45780,0,107866,5855,63463,151443,2011,8
C,Columbus Circle Fountain,40.767885,-73.982622,29906,24033,5873,6894,9649,10785,2421,0,20661,420,8634,17622,2011,8
B,Mandarin Oriental,40.768971,-73.983044,12332,10029,2303,2679,3367,4453,1730,0,7900,369,3740,7602,2011,8
B,The Greenwich Hotel,40.719846,-74.009893,27947,23540,4407,9102,5150,11468,2043,0,12837,308,9996,17274,2011,8
A,State of liberty National Monument,40.6892494,-74.0445004,25619,19758,5861,10341,7134,5096,2933,0,5296,612,3645,13515,2011,8
B,Trump SoHo Hotel,40.725469,-74.005333,9362,7189,2173,1445,2380,3499,1981,0,4679,477,2364,5243,2011,8
B,The Mark Hotel,40.775274,-73.963405,11669,10007,1661,2503,3938,4169,1019,0,8091,148,2927,7121,2011,8
D,Fort Tilden Beach,40.564254,-73.883913,22,13,9,5,8,8,1,0,0,18,4,14,2011,8
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,18573,16266,2307,9043,4558,4052,737,0,5892,345,6202,11717,2011,8
B,The Pierre Hotel,40.765247,-73.971998,5053,4175,877,1470,2125,1187,251,0,3526,101,1220,2992,2011,8
A,Prospect Park,40.6602037,-73.9689558,27273,20829,6444,2060,3241,10043,11555,0,3082,5233,6019,16230,2011,8
E,Museum of National History,40.7813241,-73.9739882,17035,13108,3926,6862,8189,1596,377,0,9494,66,2165,8435,2011,8
F,Sunshine Cinema,40.723024,-73.989961,9741,6306,3435,641,1589,4429,3028,0,5649,165,2936,5633,2011,8
B,Gramercy Park Hotel,40.738524,-73.985742,11092,8916,2176,1225,2480,5312,2057,0,7730,223,3579,6677,2011,8
E,Metropolitan Museum of Art,40.7791865,-73.9635348,15671,11526,4145,6164,6773,2465,253,0,7443,32,2516,8507,2011,8
F,Broadway Theater,40.763417,-73.983394,13294,10569,2725,2799,2945,5321,2197,0,8700,585,3215,7420,2011,8
B,Four Seasons Hotel,40.762347,-73.971312,25288,21603,3685,9654,6957,6177,2386,0,17682,345,7937,15450,2011,8
A,Central Park,40.7711329,-73.9741874,856805,699623,157182,205662,256368,293087,97151,0,512641,15720,217984,504659,2011,8
F,AMC Lowes Lincoln Square,40.774866,-73.981646,14724,11164,3560,2529,4520,6428,1165,0,10520,156,4360,8954,2011,8
B,The Surrey Hotel,40.774287,-73.96397,16530,13975,2554,3603,5806,5809,1279,0,11018,217,3891,9934,2011,8
